演唱会名称,艺人,地点,时间,票价,链接
2024（上海）超级芒果音乐节,艺人：HENRY刘宪华、蒲熠星、陈楚生、遗忘俱乐部、单依纯、孟子坤、威神V、徐子未、颜人中、周峻纬、余景天(Tony)、黄誉博、沈以诚、张超、张星特、蒋芸、王晓佳、Patti蔡宥綺、梁朋杰、井胧、圈9、方书剑、小包zerinn,上海,2024.06.29-06.30,358-688,https://detail.damai.com/item.htm?id=802820198791&clicktitle=2024（上海）超级芒果音乐节
仰韶彩陶坊呈现 张学友60+巡回演唱会 郑州站,艺人：张学友,郑州,2024.06.21-06.30,480-2280,https://detail.damai.com/item.htm?id=800593244233&clicktitle=仰韶彩陶坊呈现 张学友60+巡回演唱会 郑州站
贵阳-Z纪元银河左岸音乐节,艺人：DOUDOU、二手玫瑰、gala、回春丹乐队、旅行团乐队、犬儒、逃跑计划、痛仰乐队、夏日入侵企画、郑钧、陈楚生、队长YoungCaptain、h3R3刘清云、郑润泽、黄誉博、黄子弘凡、郑人予、旅行新蜜蜂乐队、蒲熠星、十个勤天、汪苏泷、魏晨、张星特,贵阳,2024.08.03-08.04,199-1088,https://detail.damai.com/item.htm?id=798960762535&clicktitle=贵阳-Z纪元银河左岸音乐节
Twins Spirit 22 演唱会-重庆站,艺人：Twins,重庆,2024.07.06 周六 19:30,580-1580,https://detail.damai.com/item.htm?id=800701706370&clicktitle=Twins Spirit 22 演唱会-重庆站
黄绮珊「晚霞·不晚」2024巡回演唱会-上海站,艺人：黄绮珊,上海,2024.06.22 周六 19:30,380-1180,https://detail.damai.com/item.htm?id=802811636360&clicktitle=黄绮珊「晚霞·不晚」2024巡回演唱会-上海站
2024张韶涵世界巡回演唱会-遵义站,艺人：张韶涵,遵义,2024.07.05 周五 19:30,380-1280,https://detail.damai.com/item.htm?id=798208651866&clicktitle=2024张韶涵世界巡回演唱会-遵义站
喜力·泡泡岛音乐与艺术节·西南站,艺人：朴树、万能青年旅店、陈粒、新裤子、痛仰乐队、郭顶、陈楚生、橘子海、陈婧霏、木马乐队、麻园诗人、许钧、Fine乐团、闪星TWINKLESTAR、犬儒、假假條、花墙乐队、赵雷、灯诱LampLure,贵阳,2024.06.22-06.23,298-788,https://detail.damai.com/item.htm?id=798382209346&clicktitle=喜力·泡泡岛音乐与艺术节·西南站
精彩2024·LEGEND演唱会,艺人：李健、杨宗纬、潘玮柏,金华,2024.06.14 周五 19:50,299-1580,https://detail.damai.com/item.htm?id=799264042141&clicktitle=精彩2024·LEGEND演唱会
NICE DAY· 滨州青春音乐Live现场,,滨州,2024.07.06 周六 14:00,238-468,https://detail.damai.com/item.htm?id=803086936281&clicktitle=NICE DAY· 滨州青春音乐Live现场
马思唯“黑马季节 Dark Horse Season”巡回演唱会-厦门站,艺人：马思唯,厦门,2024.07.06 周六 19:00,399-999,https://detail.damai.com/item.htm?id=800670836563&clicktitle=马思唯“黑马季节 Dark Horse Season”巡回演唱会-厦门站
2024张韶涵世界巡回演唱会-石家庄站,艺人：张韶涵,石家庄,2024.07.13 周六 19:30,388-1288,https://detail.damai.com/item.htm?id=796169850472&clicktitle=2024张韶涵世界巡回演唱会-石家庄站
2024秦皇岛海洋音乐节（看台对号入座）,艺人：汪峰、沙宝亮、孙楠、王北车、赵照、果味VC,秦皇岛,2024.06.22-06.23,80-280,https://detail.damai.com/item.htm?id=803360701516&clicktitle=2024秦皇岛海洋音乐节（看台对号入座）
2024秦皇岛海洋音乐节（内场站立）,艺人：汪峰、沙宝亮、孙楠、王北车、赵照、果味VC,秦皇岛,2024.06.22-06.23,80-380,https://detail.damai.com/item.htm?id=802418508378&clicktitle=2024秦皇岛海洋音乐节（内场站立）
美依礼芽MARiA 上海演唱会,艺人：美依礼芽、傅颖、龚琳娜,上海,2024.06.15 周六 19:30,280-1080,https://detail.damai.com/item.htm?id=798955682342&clicktitle=美依礼芽MARiA 上海演唱会
完美时刻群星演唱会,艺人：张震岳、张远、房东的猫、李汶翰,济南,2024.07.06 周六 19:30,288-999,https://detail.damai.com/item.htm?id=802498196366&clicktitle=完美时刻群星演唱会
